Name,Operating System,Software last seen,Installed Versions
mh-8cc2472wys,Windows 11,"18 Sep, 2024 02:24:47 PM","1.7.0.21751, 1.7.0.156, 1.5.0.30767"
dse-5cg32565vh,Windows 11,"19 Sep, 2024 08:10:44 AM","1.7.0.1864, 1.5.0.4689"
dse-5cd3291k3n,Windows 11,"18 Sep, 2024 08:00:24 AM","1.7.0.3653, 1.5.0.4689"
dse-5cd4145qj2,Windows 11,"19 Sep, 2024 07:53:39 AM",1.5.0.30767
drilkj-8272h2j,Windows 10,"19 Sep, 2024 08:27:52 AM","1.7.0.13456, 1.5.0.12969, 1.2.0.34161"
drilar-11038x8,Windows 10,"18 Sep, 2024 05:17:10 AM","1.2.0.3961, 1.5.0.31168, 1.6.0.33567, 1.4.0.11161, 1.5.0.21668"
druein-7072069,Windows 10,"16 Sep, 2024 11:29:15 AM","1.2.0.3961, 1.5.0.9163, 1.4.0.32771, 1.6.0.1381"
dse-5cd4178dmf,Windows 11,"18 Sep, 2024 07:10:03 AM",1.5.0.30767
mh-8cc2472x1m,Windows 11,"19 Sep, 2024 04:18:47 AM","1.5.0.30767, 1.7.0.21751, 1.7.0.7956, 1.7.0.17051, 1.7.0.24670, 1.7.0.10152, 1.6.0.35961, 1.7.0.19353, 1.7.0.13456"
dk-5cg21650n2,Windows 11,"18 Sep, 2024 10:53:11 AM","1.7.0.3653, 1.5.0.8070, 1.6.0.27573, 1.7.0.21751"
neilsh-8180ywg,Windows 10,"19 Sep, 2024 06:27:39 AM","1.7.0.15969, 1.2.0.34161"
dse-5cd3291k43,Windows 11,"18 Sep, 2024 08:02:19 PM","1.5.0.4689, 1.6.0.35961"
mh-8cc2472xcz,Windows 11,"18 Sep, 2024 07:35:15 PM","1.6.0.35961, 1.5.0.30767"
drilbo-146d0j7,Windows 11,"19 Sep, 2024 06:53:15 AM","1.5.0.17656, 1.7.0.21751, 1.2.0.3961"
dse-pw021kt0,Windows 11,"18 Sep, 2024 09:50:15 AM","1.7.0.7956, 1.5.0.8070"
drildro-9404w5x,Windows 11,"19 Sep, 2024 06:41:33 AM","1.7.0.156, 1.2.0.34161, 1.3.0.34662, 1.6.0.18681"
hso-5cg246141y,Windows 11,"19 Sep, 2024 08:17:05 AM","1.6.0.33567, 1.5.0.30767"
dse-5cg325669w,Windows 11,"19 Sep, 2024 07:14:18 AM","1.5.0.4689, 1.7.0.3653"
