Name,Operating System,Software last seen,Installed Versions
dse-5cd4178dvh,Windows 11,"19 Sep, 2024 06:48:38 AM",1.5.0.30767
dk-5cg21653pq,Windows 11,"17 Sep, 2024 05:48:45 PM","1.5.0.33362, 1.5.0.8070, 1.6.0.33567"
dk-5cg2164zxb,Windows 11,"19 Sep, 2024 06:40:58 AM","1.6.0.18681, 1.7.0.13456"
dse-5cd3293qwt,Windows 11,"19 Sep, 2024 03:06:45 AM","1.7.0.13456, 1.5.0.4689"
dse-5cd4146g9t,Windows 11,"19 Sep, 2024 10:20:40 AM",1.5.0.30767
dse-5cd0198g1r,Windows 11,"18 Sep, 2024 05:27:57 AM","1.7.0.13456, 1.6.0.18681"
dse-5cd3297297,Windows 11,"18 Sep, 2024 05:27:35 PM",1.6.0.18681
drilfr-91531q3,Windows 10,"19 Sep, 2024 06:26:48 AM","1.7.0.15969, 1.3.0.362"
dse-pw021k6n,Windows 11,"19 Sep, 2024 08:08:11 AM","1.5.0.8070, 1.7.0.10152"
dse-5cd1258pc5,Windows 11,"19 Sep, 2024 07:33:16 AM",1.3.0.21759
dk-5cg215900n,Windows 11,"19 Sep, 2024 08:14:03 AM",1.6.0.18681
dse-5cg41427sx,Windows 11,"18 Sep, 2024 11:01:35 AM",1.5.0.30767
drhso-10106q0,Windows 10,"18 Sep, 2024 06:33:34 PM","1.3.0.26064, 1.6.0.20074, 1.7.0.6058"
drilfr-1140c3d,Windows 10,"18 Sep, 2024 05:54:36 AM","1.2.0.3961, 1.5.0.17656, 1.5.0.21668, 1.7.0.156, 1.7.0.19353, 1.6.0.20074, 1.4.0.26376, 1.6.0.1381, 1.6.0.33567"
dse-5cd329724b,Windows 11,"19 Sep, 2024 07:14:17 AM","1.5.0.4689, 1.7.0.7956"
dk-5cg215904n,Windows 11,"19 Sep, 2024 06:46:47 AM","1.6.0.12455, 1.6.0.33567"
mh-8cc2472x7x,Windows 11,"18 Sep, 2024 01:41:55 AM","1.5.0.30767, 1.7.0.15969"
dse-5cd4145q9v,Windows 11,"18 Sep, 2024 02:27:59 PM",1.5.0.30767
dse-5cd1258p0n,Windows 11,"16 Sep, 2024 02:16:03 AM","1.3.0.21759, 1.7.0.24670"
dradm-2026977,Windows 10,"12 Sep, 2024 04:22:37 PM","1.7.0.6058, 1.6.0.1381, 1.3.0.26064, 1.5.0.36367"
dse-5cd4146gcx,Windows 11,"13 Sep, 2024 12:06:43 PM",1.5.0.30767
dse-5cd0198f31,Windows 11,"18 Sep, 2024 06:40:21 PM",1.6.0.18681
drilve-13856wd,Windows 11,"16 Sep, 2024 04:34:40 PM","1.2.0.3961, 1.7.0.6058"
ctxv3-in-vm-45,Windows Server 2016,"19 Sep, 2024 06:30:10 AM",1.4.0.8872
dse-5cd4178dv8,Windows 11,"19 Sep, 2024 06:47:05 AM",1.5.0.30767
mh-8cc2472x7r,Windows 11,"19 Sep, 2024 06:22:27 AM","1.5.0.30767, 1.7.0.7956, 1.7.0.21751, 1.7.0.6058, 1.6.0.33567, 1.7.0.19353, 1.7.0.17051"
mh-8cc2472x8w,Windows 11,"17 Sep, 2024 04:32:10 PM","1.5.0.30767, 1.7.0.19353, 1.7.0.17051, 1.6.0.29964, 1.6.0.33567, 1.7.0.21751, 1.7.0.24670"
adm-5cg32510hm,Windows 11,"16 Sep, 2024 10:47:13 AM","1.7.0.156, 1.6.0.18681"
mh-8cc2472xbt,Windows 11,"19 Sep, 2024 05:01:50 AM","1.5.0.30767, 1.7.0.15969, 1.7.0.24670, 1.7.0.19353, 1.7.0.21751, 1.7.0.6058, 1.7.0.17051"
ia-5cg2111pp8,Windows 11,"19 Sep, 2024 06:30:40 AM",1.6.0.18681
dk-5cg2158yhv,Windows 11,"19 Sep, 2024 05:53:50 AM","1.5.0.8070, 1.7.0.7956"
dk-5cg21653pn,Windows 11,"19 Sep, 2024 09:25:21 AM",1.5.0.8070
dse-5cd3291k8z,Windows 11,"18 Sep, 2024 09:03:49 AM","1.5.0.4689, 1.7.0.15969"
mh-8cc31507jf,Windows 11,"18 Sep, 2024 08:17:06 PM","1.5.0.30767, 1.7.0.17051, 1.7.0.10152, 1.7.0.21751, 1.7.0.15969, 1.7.0.7956, 1.7.0.19353"
dse-5cd4178dt3,Windows 11,"19 Sep, 2024 06:42:16 AM",1.5.0.30767
dk-5cg2158ydn,Windows 11,"19 Sep, 2024 04:26:05 AM","1.5.0.8070, 1.6.0.33567"
dse-5cd4178dvq,Windows 11,"18 Sep, 2024 11:06:17 AM",1.5.0.30767
adm-5cg2461423,Windows 11,"19 Sep, 2024 06:00:17 AM","1.6.0.12455, 1.5.0.8070, 1.6.0.33567"
dse-5cd4178dnr,Windows 11,"19 Sep, 2024 10:01:21 AM",1.5.0.30767
mh-8cc2472x25,Windows 11,"19 Sep, 2024 03:00:31 AM","1.5.0.30767, 1.7.0.156, 1.7.0.19353, 1.7.0.15969, 1.6.0.33567, 1.7.0.7956, 1.7.0.6058, 1.7.0.21751"
dk-5cg2158yhy,Windows 11,"18 Sep, 2024 05:49:29 AM","1.7.0.13456, 1.5.0.8070"
drilin-736594f,Windows 10,"19 Sep, 2024 07:10:35 AM","1.4.0.22976, 1.7.0.156, 1.6.0.29964"
dk-5cg21652cm,Windows 11,"19 Sep, 2024 05:39:47 AM","1.5.0.8070, 1.6.0.33567"
druein-137dqd1,Windows 11,"19 Sep, 2024 05:57:56 AM",1.2.0.3961
mh-8cc2472x79,Windows 11,"18 Sep, 2024 08:06:45 PM","1.7.0.19353, 1.5.0.30767, 1.7.0.15969, 1.7.0.21751, 1.6.0.26474, 1.7.0.1864"
drhso-13578qf,Windows 11,"19 Sep, 2024 08:48:03 AM","1.7.0.6058, 1.7.0.13456, 1.3.0.26064, 1.7.0.7956"
dse-5cd4145q9k,Windows 11,"17 Sep, 2024 09:54:07 AM",1.5.0.30767
dradm-7401jxn,Windows 10,"18 Sep, 2024 09:10:54 PM","1.4.0.29469, 1.2.0.34161"
dse-5cd3291kkd,Windows 11,"16 Sep, 2024 10:07:48 AM","1.6.0.24078, 1.7.0.13456"
dse-pw021kem,Windows 11,"16 Sep, 2024 08:13:35 AM","1.7.0.13456, 1.5.0.8070"
rfdv-win10,Windows 10,"19 Sep, 2024 07:46:07 AM",1.4.0.7174
dse-pw021kpb,Windows 11,"18 Sep, 2024 07:13:09 AM",1.6.0.18681
mh-8cc2472x6r,Windows 11,"17 Sep, 2024 09:10:10 PM","1.5.0.30767, 1.7.0.21751, 1.7.0.17051, 1.7.0.24670"
dse-5cg1115p59,Windows 11,"18 Sep, 2024 10:53:23 AM",1.3.0.4461
mh-8cc2472x9y,Windows 11,"18 Sep, 2024 06:08:30 AM","1.7.0.19353, 1.5.0.30767, 1.7.0.21751, 1.7.0.7956, 1.7.0.15969, 1.6.0.35961, 1.6.0.28557, 1.7.0.17051, 1.6.0.22378, 1.6.0.27573"
dse-5cd0198fy7,Windows 11,"13 Sep, 2024 07:51:06 AM",1.6.0.24078
dk-5cg216520g,Windows 11,"19 Sep, 2024 09:24:28 AM","1.6.0.33567, 1.6.0.11166"
dse-5cd4178dv4,Windows 11,"19 Sep, 2024 07:49:26 AM",1.5.0.30767
dse-5cg41424t5,Windows 11,"17 Sep, 2024 01:21:48 PM",1.5.0.30767
ctxpvsin-app108,Windows Server 2022,"19 Sep, 2024 04:14:35 AM",1.6.0.6754
drhso-1448j6s,Windows 11,"16 Sep, 2024 11:50:17 PM","1.6.0.33567, 1.5.0.33362, 1.4.0.32771, 1.7.0.7956"
dse-5cg41424d6,Windows 11,"18 Sep, 2024 03:05:47 PM",1.5.0.30767
neuemj-95071w9,Windows 10,"18 Sep, 2024 04:39:58 PM","1.6.0.6754, 1.2.0.3961"
drhso-9423kmq,Windows 10,"19 Sep, 2024 08:54:52 AM","1.6.0.22378, 1.7.0.7956"
mh-8cc2472x27,Windows 11,"17 Sep, 2024 05:39:36 PM","1.5.0.30767, 1.7.0.17051, 1.7.0.19353, 1.6.0.35961, 1.7.0.7956"
dse-5cd1258p4f,Windows 11,"19 Sep, 2024 08:34:45 AM",1.3.0.21759
mh-8cc2472x1z,Windows 11,"18 Sep, 2024 05:45:21 AM","1.5.0.30767, 1.7.0.19353, 1.7.0.15969, 1.7.0.21751, 1.7.0.17051"
drilbr-8120qnc,Windows 11,"18 Sep, 2024 08:32:45 AM","1.6.0.29964, 1.2.0.3961"
dk-5cg2158y8s,Windows 11,"19 Sep, 2024 07:17:50 AM","1.5.0.8070, 1.7.0.10152, 1.5.0.33362, 1.5.0.21668, 1.6.0.12455"
drilor-1400wdr,Windows 11,"19 Sep, 2024 05:48:10 AM","1.5.0.36367, 1.6.0.22378, 1.2.0.3961, 1.5.0.8070, 1.7.0.21751, 1.6.0.33567, 1.7.0.6058, 1.7.0.156, 1.7.0.3653, 1.5.0.33362"
dse-pw021k6g,Windows 11,"17 Sep, 2024 07:43:25 AM",1.5.0.8070
dse-5cd0198dyz,Windows 11,"19 Sep, 2024 10:19:43 AM",1.6.0.18681
dse-5cd4145q04,Windows 11,"19 Sep, 2024 09:56:56 AM",1.5.0.30767
mh-8cc2472xbd,Windows 11,"19 Sep, 2024 07:35:12 AM","1.7.0.13456, 1.5.0.30767, 1.6.0.28557, 1.7.0.21751, 1.7.0.19353, 1.7.0.24670, 1.6.0.29964, 1.7.0.17051"
lk-8cc1170d1c,Windows 11,"19 Sep, 2024 06:31:03 AM",1.6.0.24078
dse-5cd329729q,Windows 11,"19 Sep, 2024 06:52:16 AM",1.6.0.26474
druein-7412mns,Windows 10,"17 Sep, 2024 07:30:18 AM","1.2.0.3961, 1.6.0.4472"
dse-pw021k87,Windows 11,"18 Sep, 2024 11:50:40 AM","1.5.0.8070, 1.7.0.7956"
dse-5cd0198fjk,Windows 11,"19 Sep, 2024 07:46:55 AM","1.5.0.8070, 1.7.0.1864, 1.7.0.21751, 1.6.0.12455"
dse-5cd1258nsz,Windows 11,"16 Sep, 2024 06:53:45 AM",1.3.0.21759
dk-5cg2158yj5,Windows 11,"19 Sep, 2024 06:02:10 AM","1.7.0.13456, 1.5.0.8070"
dse-5cg32566hg,Windows 11,"19 Sep, 2024 07:06:34 AM","1.6.0.33567, 1.5.0.4689"
dk-5cg21651zx,Windows 11,"19 Sep, 2024 09:30:49 AM","1.5.0.8070, 1.6.0.29964, 1.7.0.6058"
dk-5cg32703rp,Windows 11,"19 Sep, 2024 08:09:16 AM","1.6.0.4472, 1.6.0.33567"
dradm-212dl5b,Windows 11,"18 Sep, 2024 08:59:06 PM","1.7.0.7956, 1.3.0.26064, 1.7.0.156, 1.7.0.15969, 1.7.0.3653, 1.7.0.1864, 1.6.0.29964, 1.7.0.19353, 1.6.0.22378, 1.7.0.17051, 1.7.0.6058"
drilma-8120q51,Windows 10,"19 Sep, 2024 07:23:21 AM","1.3.0.30866, 1.4.0.2879, 1.4.0.19572, 1.2.0.27559, 1.7.0.10152"
dk-5cg2158y6r,Windows 11,"18 Sep, 2024 08:04:21 PM","1.6.0.35961, 1.5.0.8070"
dse-5cd4145py1,Windows 11,"19 Sep, 2024 08:24:48 AM",1.5.0.30767
dse-5cd3291jz8,Windows 11,"16 Sep, 2024 10:35:34 AM","1.7.0.13456, 1.5.0.4689"
dk-5cg2158yjc,Windows 11,"18 Sep, 2024 08:13:59 AM","1.7.0.156, 1.5.0.33362, 1.5.0.8070"
dse-5cg41426zn,Windows 11,"18 Sep, 2024 02:02:54 PM",1.5.0.30767
dse-5cd3291k3j,Windows 11,"19 Sep, 2024 09:16:25 AM","1.5.0.4689, 1.7.0.15969"
dse-5cd3291k0m,Windows 11,"19 Sep, 2024 07:37:12 AM","1.5.0.4689, 1.7.0.13456"
dk-5cg21653bf,Windows 11,"19 Sep, 2024 06:47:15 AM","1.5.0.30767, 1.7.0.3653"
dse-5cd329727q,Windows 11,"18 Sep, 2024 06:56:34 AM",1.5.0.4689
dse-pw01za22,Windows 11,"17 Sep, 2024 11:29:23 AM","1.7.0.13456, 1.5.0.8070"
dse-pw01za01,Windows 11,"18 Sep, 2024 08:11:41 AM","1.5.0.8070, 1.7.0.1864"
delt-8cn3210381,Windows 10,"19 Sep, 2024 04:18:30 AM",1.6.0.18681
dse-5cd4145qfs,Windows 11,"17 Sep, 2024 12:35:21 PM",1.5.0.30767
hso-5cg3343h30,Windows 11,"13 Sep, 2024 06:01:25 AM",1.6.0.22378
drilro-8120r4v,Windows 10,"17 Sep, 2024 08:02:04 PM","1.7.0.7956, 1.3.0.8663"
mh-8cc2472x78,Windows 11,"19 Sep, 2024 04:53:59 AM","1.7.0.21751, 1.7.0.10152, 1.5.0.30767"
mh-8cc2472xcp,Windows 11,"19 Sep, 2024 06:19:14 AM","1.5.0.30767, 1.6.0.35961, 1.7.0.24670"
dk-5cg2158yt3,Windows 11,"19 Sep, 2024 06:20:15 AM",1.5.0.8070
dk-5cg2158z59,Windows 11,"19 Sep, 2024 07:19:44 AM","1.7.0.19353, 1.5.0.8070"
dse-5cg32567xb,Windows 11,"18 Sep, 2024 07:09:36 AM","1.6.0.33567, 1.5.0.4689"
dse-pw021kaf,Windows 11,"18 Sep, 2024 11:22:31 AM","1.7.0.3653, 1.5.0.8070"
neilmj-11568ss,Windows 10,"19 Sep, 2024 07:09:07 AM","1.2.0.3961, 1.7.0.7956, 1.6.0.22378, 1.6.0.29964"
dradm-04717lj,Windows 10,"19 Sep, 2024 06:32:03 AM","1.3.0.26064, 1.6.0.35961, 1.7.0.10152, 1.7.0.21751, 1.4.0.32771, 1.6.0.29964, 1.7.0.17051, 1.6.0.33567, 1.7.0.1864, 1.6.0.27573, 1.4.0.8872, 1.6.0.18681, 1.7.0.15969, 1.4.0.11161, 1.7.0.7956"
dse-5cd329724l,Windows 11,"18 Sep, 2024 01:59:16 PM","1.7.0.15969, 1.5.0.4689"
mh-8cc2472x21,Windows 11,"19 Sep, 2024 05:50:39 AM","1.5.0.30767, 1.7.0.156, 1.7.0.15969, 1.7.0.21751, 1.6.0.29964, 1.7.0.13456, 1.6.0.35961, 1.7.0.19353, 1.7.0.24670"
dk-5cg3161w4d,Windows 11,"18 Sep, 2024 05:32:03 PM","1.6.0.29964, 1.5.0.30767, 1.6.0.24078, 1.7.0.7956"
dse-5cg3253xg6,Windows 11,"18 Sep, 2024 04:54:48 PM",1.5.0.4689
drildro-847c38p,Windows 10,"19 Sep, 2024 06:11:54 AM","1.7.0.6058, 1.3.0.362, 1.2.0.19260"
mh-8cc2472x9x,Windows 11,"19 Sep, 2024 08:06:39 AM","1.7.0.21751, 1.7.0.17051, 1.5.0.30767, 1.7.0.24670, 1.6.0.33567, 1.6.0.29964, 1.7.0.19353"
svilta-8121h63,Windows 10,"17 Sep, 2024 06:44:12 PM","1.2.0.3961, 1.7.0.3653"
dk-5cg2158zz2,Windows 11,"18 Sep, 2024 01:37:33 AM",1.6.0.24078
mh-8cc2472x42,Windows 11,"15 Sep, 2024 07:38:01 PM",1.5.0.30767
neuemj-7482htm,Windows 10,"18 Sep, 2024 10:58:40 AM","1.2.0.3961, 1.7.0.7956"
ikt-5cg2242c2z,Windows 11,"19 Sep, 2024 07:09:57 AM",1.6.0.22772
dse-5cd1258p94,Windows 11,"17 Sep, 2024 05:42:35 PM","1.7.0.13456, 1.3.0.21759, 1.7.0.24670"
dse-pw04k4ba,Windows 11,"18 Sep, 2024 05:03:23 PM","1.7.0.13456, 1.6.0.4472"
dk-5cg216509z,Windows 11,"19 Sep, 2024 07:14:45 AM","1.7.0.7956, 1.5.0.8070"
dse-5cd4145q2l,Windows 11,"19 Sep, 2024 07:30:09 AM",1.5.0.30767
rfd-5cg3373ks4,Windows 11,"19 Sep, 2024 09:57:50 AM",1.5.0.30767
dse-pw01z9vy,Windows 11,"18 Sep, 2024 04:16:27 PM","1.7.0.13456, 1.5.0.8070"
drilha-8120q6d,Windows 10,"17 Sep, 2024 07:50:43 AM","1.2.0.3961, 1.2.0.32462, 1.5.0.21463, 1.5.0.33362, 1.6.0.33567"
dk-5cg2158zq8,Windows 11,"19 Sep, 2024 06:19:26 AM","1.6.0.33567, 1.5.0.8070"
dse-5cd4146gc0,Windows 11,"18 Sep, 2024 09:39:22 AM",1.5.0.30767
dse-5cg3255cgx,Windows 11,"14 Sep, 2024 08:33:08 PM",1.5.0.4689
mh-8cc2472x30,Windows 11,"18 Sep, 2024 07:09:27 PM","1.5.0.30767, 1.7.0.21751, 1.7.0.7956, 1.7.0.19353, 1.7.0.17051, 1.7.0.24670"
dse-5cd0198f90,Windows 11,"18 Sep, 2024 04:19:18 PM",1.6.0.18681
dk-f8f3347f60a4,Windows 11,"18 Sep, 2024 09:50:05 AM","1.5.0.4689, 1.6.0.29964"
drhso-6422bt4,Windows 10,"16 Sep, 2024 06:35:29 AM","1.3.0.26064, 1.6.0.1381"
dse-5cg32567yd,Windows 11,"12 Sep, 2024 11:06:10 AM",1.5.0.4689
dse-5cd4178dx4,Windows 11,"18 Sep, 2024 02:29:03 PM",1.5.0.30767
drildro-924frhr,Windows 10,"19 Sep, 2024 06:30:30 AM","1.5.0.33362, 1.5.0.36367, 1.5.0.11163"
druein-70739xj,Windows 10,"16 Sep, 2024 12:03:55 PM","1.2.0.3961, 1.5.0.11163"
dse-pw01za06,Windows 11,"19 Sep, 2024 09:48:20 AM","1.7.0.13456, 1.5.0.8070"
drilsv-8120l1z,Windows 11,"18 Sep, 2024 06:24:01 AM","1.5.0.14473, 1.6.0.29964, 1.2.0.19260"
drilin-73651kc,Windows 10,"18 Sep, 2024 04:25:37 PM","1.6.0.33567, 1.2.0.3961"
dse-5cd329725s,Windows 11,"19 Sep, 2024 08:32:05 AM","1.6.0.35961, 1.5.0.4689"
neuekr-95073nc,Windows 10,"16 Sep, 2024 04:58:17 PM","1.2.0.3961, 1.7.0.7956"
mh-8cc2472x2y,Windows 11,"19 Sep, 2024 05:37:57 AM","1.6.0.35961, 1.7.0.24670, 1.5.0.30767, 1.7.0.13456, 1.7.0.21751, 1.6.0.33567, 1.7.0.7956, 1.6.0.29964, 1.7.0.15969"
dse-5cg3256694,Windows 11,"19 Sep, 2024 07:25:29 AM","1.7.0.1864, 1.5.0.4689"
mh-8cc2472x1v,Windows 11,"18 Sep, 2024 07:33:07 PM","1.7.0.3653, 1.5.0.30767, 1.6.0.29964, 1.7.0.24670, 1.7.0.156, 1.6.0.35961, 1.7.0.15969, 1.7.0.19353, 1.7.0.17051, 1.7.0.13456"
dk-5cg2158y02,Windows 11,"18 Sep, 2024 06:12:05 AM","1.5.0.8070, 1.7.0.7956"
dse-pw021kaz,Windows 11,"16 Sep, 2024 08:19:18 AM","1.5.0.8070, 1.7.0.3653"
dse-5cd4178dv9,Windows 11,"19 Sep, 2024 07:40:38 AM",1.5.0.30767
drilin-7062qfy,Windows 10,"18 Sep, 2024 06:52:01 AM",1.2.0.22654
dradm-61520fb,Windows 10,"13 Sep, 2024 10:21:06 AM","1.3.0.26064, 1.7.0.15969"
dk-5cg2158y3n,Windows 11,"19 Sep, 2024 06:00:37 AM","1.6.0.33567, 1.5.0.8070"
druein-74122tl,Windows 10,"15 Sep, 2024 09:52:24 PM",1.2.0.3961
dk-5cg2164zvx,Windows 11,"19 Sep, 2024 05:25:54 AM","1.5.0.8070, 1.7.0.3653"
rfd-0509bh4,Windows 10,"19 Sep, 2024 05:33:45 AM","1.6.0.16472, 1.3.0.26064, 1.7.0.15969, 1.6.0.4472, 1.4.0.2879, 1.7.0.156"
drilak-909b83y,Windows 10,"19 Sep, 2024 07:15:38 AM",1.5.0.8070
mh-8cc2472wyk,Windows 11,"18 Sep, 2024 05:06:44 AM","1.7.0.3653, 1.5.0.30767, 1.6.0.24078, 1.7.0.13456, 1.7.0.6058, 1.7.0.21751, 1.7.0.24670, 1.7.0.17051, 1.6.0.18681"
eks-5cg3184884,Windows 11,"19 Sep, 2024 09:52:41 AM","1.6.0.11166, 1.7.0.3653, 1.6.0.35961"
dse-5cd4178dwg,Windows 11,"17 Sep, 2024 04:57:53 PM",1.5.0.30767
dse-5cd4146g9q,Windows 11,"19 Sep, 2024 07:48:29 AM",1.5.0.30767
hso-5cg3192zcl,Windows 11,"19 Sep, 2024 07:08:43 AM","1.6.0.33567, 1.5.0.30767"
dk-5cg21653bv,Windows 11,"19 Sep, 2024 09:22:59 AM","1.7.0.3653, 1.5.0.8070"
drilbr-8121j81,Windows 10,"19 Sep, 2024 05:31:35 AM","1.6.0.29964, 1.2.0.27559, 1.2.0.13765"
druein-74122v5,Windows 10,"18 Sep, 2024 11:24:37 AM",1.2.0.3961
mh-8cc2472x3d,Windows 11,"17 Sep, 2024 02:21:18 PM",1.5.0.30767
hso-8cc306127k,Windows 11,"18 Sep, 2024 12:21:29 PM","1.5.0.30767, 1.6.0.33567, 1.6.0.16472"
mh-8cc2472x09,Windows 11,"19 Sep, 2024 09:49:54 AM","1.7.0.21751, 1.5.0.30767, 1.7.0.13456, 1.6.0.33567, 1.7.0.24670, 1.7.0.6058, 1.7.0.19353, 1.7.0.17051, 1.7.0.1864"
dse-5cd4145pzt,Windows 11,"18 Sep, 2024 06:54:56 AM",1.5.0.30767
druein-9519lhm,Windows 10,"19 Sep, 2024 06:49:32 AM","1.2.0.3961, 1.5.0.21668"
drhso-6433bbq,Windows 10,"19 Sep, 2024 07:45:15 AM","1.3.0.12058, 1.7.0.21751"
drilfr-1140c39,Windows 10,"18 Sep, 2024 08:43:34 PM","1.2.0.3961, 1.4.0.35564, 1.6.0.33567, 1.5.0.2164"
dse-5cg41422gx,Windows 11,"12 Sep, 2024 04:55:19 PM",1.5.0.30767
tek-5cg3082db7,Windows 11,"19 Sep, 2024 05:44:17 AM","1.5.0.30767, 1.7.0.13456"
mh-8cc2472x4n,Windows 11,"19 Sep, 2024 06:37:26 AM","1.5.0.30767, 1.7.0.21751, 1.7.0.17051, 1.7.0.15969"
drilma-8121j5s,Windows 10,"13 Sep, 2024 04:54:35 AM","1.6.0.33567, 1.3.0.362"
drbv-0227s2j,Windows 10,"17 Sep, 2024 06:04:52 AM","1.3.0.21759, 1.6.0.35961"
dse-pw01za4a,Windows 11,"19 Sep, 2024 06:52:39 AM","1.7.0.13456, 1.5.0.8070"
desktop-5hntibd,Windows 11,"19 Sep, 2024 09:29:44 AM",1.6.0.24078
dk-5cg216520t,Windows 11,"19 Sep, 2024 08:04:53 AM","1.5.0.8070, 1.7.0.15969"
drildro-847c36z,Windows 10,"19 Sep, 2024 07:13:03 AM","1.4.0.11161, 1.6.0.29964, 1.4.0.7174"
druein-137dqbk,Windows 11,"19 Sep, 2024 08:12:30 AM","1.2.0.3961, 1.6.0.22378"
dse-pw021kbn,Windows 11,"19 Sep, 2024 07:16:48 AM","1.6.0.29964, 1.5.0.8070"
mh-8cc2472wy1,Windows 11,"19 Sep, 2024 08:42:44 AM","1.5.0.30767, 1.6.0.27573, 1.7.0.17051, 1.7.0.21751, 1.6.0.29964, 1.7.0.13456, 1.7.0.10152, 1.7.0.7956, 1.7.0.3653, 1.7.0.19353, 1.6.0.35961"
dse-5cg3253xr2,Windows 11,"18 Sep, 2024 10:43:48 AM",1.5.0.4689
dse-5cd3291k9h,Windows 11,"17 Sep, 2024 06:36:51 PM","1.7.0.13456, 1.5.0.4689"
dradm-3722-82,Windows 11,"16 Sep, 2024 08:31:41 AM","1.6.0.26163, 1.3.0.26064"
drilfr-915319t,Windows 10,"19 Sep, 2024 06:39:49 AM","1.6.0.16472, 1.6.0.29964"
dse-pw021ka3,Windows 11,"18 Sep, 2024 07:24:14 AM","1.6.0.12455, 1.6.0.29964"
dse-5cd4178djs,Windows 11,"19 Sep, 2024 08:40:35 AM",1.5.0.30767
dse-5cd1258n5q,Windows 11,"19 Sep, 2024 07:23:36 AM",1.3.0.21759
dse-5cd4178dt6,Windows 11,"16 Sep, 2024 07:54:00 PM",1.5.0.30767
ikt-5cg3342m1r,Windows 11,"19 Sep, 2024 07:29:07 AM",1.6.0.22378
hso-5cg3192zcj,Windows 11,"16 Sep, 2024 08:38:51 AM","1.5.0.30767, 1.6.0.33567"
dk-5cg21653cq,Windows 11,"18 Sep, 2024 07:09:34 AM","1.5.0.8070, 1.7.0.21751"
dse-5cg41424d4,Windows 11,"19 Sep, 2024 07:53:27 AM",1.5.0.30767
mh-8cc2472x1q,Windows 11,"19 Sep, 2024 08:12:50 AM","1.7.0.21751, 1.5.0.30767, 1.7.0.24670, 1.7.0.19353, 1.7.0.15969"
dse-5cd1258nsg,Windows 11,"13 Sep, 2024 06:52:25 AM",1.3.0.21759
dk-5cg215902w,Windows 11,"19 Sep, 2024 09:00:47 AM","1.5.0.8070, 1.6.0.35961"
drilfr-1140c33,Windows 10,"18 Sep, 2024 07:14:48 AM","1.4.0.31569, 1.4.0.19572, 1.2.0.3961, 1.7.0.6058, 1.6.0.22378, 1.5.0.21668, 1.4.0.35564, 1.6.0.29964, 1.5.0.17656, 1.7.0.156"
mh-8cc2472x99,Windows 11,"19 Sep, 2024 01:59:15 AM","1.5.0.30767, 1.7.0.17051, 1.7.0.19353, 1.7.0.21751, 1.7.0.10152, 1.7.0.24670, 1.7.0.6058"
dk-5cg2158z19,Windows 11,"18 Sep, 2024 07:17:48 AM","1.6.0.11166, 1.7.0.3653, 1.7.0.13456"
dse-5cd3291k8p,Windows 11,"18 Sep, 2024 07:45:25 PM",1.6.0.18681
